"Time (s)","Temperature (°C)"
1.019816850E2,2.653125000E1
1.019995742E2,2.649218750E1
1.020174682E2,2.653906250E1
1.020353595E2,2.654687500E1
1.020532512E2,2.650781250E1
1.020711427E2,2.650781250E1
1.020890341E2,2.648437500E1
1.021069258E2,2.651562500E1
1.021248167E2,2.653906250E1
1.021426913E2,2.654687500E1
1.021606003E2,2.653906250E1
1.021784916E2,2.651562500E1
1.021963830E2,2.650781250E1
1.022142745E2,2.651562500E1
1.022321662E2,2.653125000E1
1.022500573E2,2.651562500E1
1.022679346E2,2.652343750E1
1.022858407E2,2.653125000E1
1.023037321E2,2.653906250E1
1.023216146E2,2.654687500E1
1.023395121E2,2.652343750E1
1.023574067E2,2.653906250E1
1.023752980E2,2.653125000E1
1.023931896E2,2.651562500E1
1.024110767E2,2.652343750E1
1.024289726E2,2.654687500E1
1.024468643E2,2.652343750E1
1.024647555E2,2.653906250E1
1.024826469E2,2.649218750E1
1.025005229E2,2.653125000E1
1.025184301E2,2.655468750E1
1.025363216E2,2.652343750E1
1.025542130E2,2.649218750E1
1.025721047E2,2.650781250E1
1.025899960E2,2.653906250E1
1.026078874E2,2.653906250E1
1.026257789E2,2.653125000E1
1.026436706E2,2.650781250E1
1.026615622E2,2.652343750E1
1.026794535E2,2.653125000E1
1.026973521E2,2.653906250E1
1.027152395E2,2.653125000E1
1.027331280E2,2.651562500E1
1.027510195E2,2.653125000E1
1.027688997E2,2.653906250E1
1.027868027E2,2.653906250E1
1.028046940E2,2.653906250E1
1.028225856E2,2.653125000E1
1.028404801E2,2.649218750E1
1.028583688E2,2.653125000E1
1.028762601E2,2.649218750E1
1.028941083E2,2.651562500E1
1.029120289E2,2.653125000E1
1.029299348E2,2.655468750E1
1.029478261E2,2.652343750E1
1.029657177E2,2.654687500E1
1.029836091E2,2.650781250E1
1.030015004E2,2.653125000E1
1.030193893E2,2.653125000E1
1.030372721E2,2.653125000E1
1.030551779E2,2.653906250E1
1.030730665E2,2.655468750E1
1.030909581E2,2.650781250E1
1.031088495E2,2.653125000E1
1.031267411E2,2.653125000E1
1.031446327E2,2.655468750E1
1.031625241E2,2.653906250E1
1.031804156E2,2.651562500E1
1.031983070E2,2.652343750E1
1.032161986E2,2.651562500E1
1.032340928E2,2.655859375E1
1.032519834E2,2.655078125E1
1.032698735E2,2.652343750E1
1.032877529E2,2.653125000E1
1.033056564E2,2.652343750E1
1.033235475E2,2.654687500E1
1.033414391E2,2.653125000E1
1.033593309E2,2.653906250E1
1.033772106E2,2.650781250E1
1.033951166E2,2.653906250E1
1.034130050E2,2.653125000E1
1.034308970E2,2.653906250E1
1.034487882E2,2.653906250E1
1.034666799E2,2.656640625E1
1.034845712E2,2.652734375E1
1.035024628E2,2.653125000E1
1.035203544E2,2.653906250E1
1.035382474E2,2.654687500E1
1.035561374E2,2.653906250E1
