"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.967376292E0,-9.975399780E1,-6.447270203E1,-1.576873779E2
1.977417292E0,-9.961540222E1,-6.466821289E1,-1.573570557E2
1.987459292E0,-9.968653870E1,-6.462037659E1,-1.575296326E2
1.997501292E0,-9.966546631E1,-6.478880310E1,-1.574082031E2
2.007542292E0,-9.958354187E1,-6.449331665E1,-1.573254089E2
2.017584292E0,-9.957405090E1,-6.459252930E1,-1.575841064E2
2.027626292E0,-9.957131958E1,-6.434384155E1,-1.569906921E2
2.037668292E0,-9.979904175E1,-6.432559204E1,-1.569022217E2
2.047709292E0,-9.967126465E1,-6.441412354E1,-1.572213745E2
2.057751292E0,-9.956483459E1,-6.447892761E1,-1.572464294E2
2.067793292E0,-9.958190918E1,-6.443783569E1,-1.571503906E2
2.077834292E0,-9.939700317E1,-6.458525085E1,-1.569966431E2
2.087876292E0,-9.944403076E1,-6.459552002E1,-1.569839172E2
2.097918292E0,-9.938269043E1,-6.468437195E1,-1.571788025E2
2.107959292E0,-9.946163940E1,-6.454501343E1,-1.573928833E2
2.118001292E0,-9.962882996E1,-6.451087952E1,-1.573930054E2
2.128043292E0,-9.958023071E1,-6.431030273E1,-1.575074463E2
2.138084292E0,-9.955493164E1,-6.446182251E1,-1.572898560E2
2.148126292E0,-9.945794678E1,-6.447193909E1,-1.573493958E2
2.158168292E0,-9.943231201E1,-6.435781860E1,-1.573229675E2
2.168209292E0,-9.946257019E1,-6.431275940E1,-1.573379822E2
2.178251292E0,-9.944345093E1,-6.452197266E1,-1.572278137E2
2.188293292E0,-9.988139343E1,-6.453288269E1,-1.571502991E2
2.198334292E0,-9.965466309E1,-6.446194458E1,-1.571618958E2
2.208376292E0,-9.957635498E1,-6.441497803E1,-1.568060913E2
2.218418292E0,-9.976188660E1,-6.458708191E1,-1.570406189E2
2.228459292E0,-9.961611938E1,-6.446681213E1,-1.569722290E2
2.238501292E0,-9.964680481E1,-6.436024475E1,-1.570797119E2
2.248543292E0,-9.949824524E1,-6.431352234E1,-1.571792297E2
2.258584292E0,-9.961357117E1,-6.437799072E1,-1.568795776E2
2.268626292E0,-9.975857544E1,-6.449642944E1,-1.568390808E2
2.278668292E0,-9.984585571E1,-6.480685425E1,-1.571134644E2
2.288709292E0,-9.980856323E1,-6.468164062E1,-1.570426941E2
2.298751292E0,-9.971929932E1,-6.454644775E1,-1.571416626E2
2.308793292E0,-9.964370728E1,-6.469664001E1,-1.568324585E2
2.318834292E0,-9.961778259E1,-6.475981140E1,-1.571529541E2
2.328876292E0,-9.996235657E1,-6.474308777E1,-1.567423401E2
2.338918292E0,-9.992369080E1,-6.473815918E1,-1.570666199E2
2.348959292E0,-9.981616211E1,-6.478289795E1,-1.567609253E2
2.359001292E0,-9.955955505E1,-6.465060425E1,-1.566651611E2
2.369043292E0,-9.950862122E1,-6.463351440E1,-1.570182800E2
2.379084292E0,-9.934233093E1,-6.463232422E1,-1.568419495E2
2.389126292E0,-9.969827271E1,-6.480691528E1,-1.569038086E2
2.399168292E0,-9.959588623E1,-6.488810730E1,-1.567641602E2
2.409209292E0,-9.952958679E1,-6.466456604E1,-1.567560425E2
