time,x,y,z
1762,2.9462576E-4,2.3970008E-4,0.056565285
1781,0.007496774,0.010986388,0.06494236
1800,0.006208718,0.0074957833,0.058963776
1819,0.0061731935,0.0015673563,0.052981377
1838,0.014437139,-0.007975511,0.048200607
1857,0.010739148,-0.011593878,0.04940319
1876,0.0047795773,0.002653569,0.05418873
1895,-0.00480181,0.0037767217,0.05538559
1914,0.004858017,0.006047569,0.057774544
1932,-0.0023360848,0.006038435,0.05059147
1952,0.0037914515,0.0048320964,0.054175377
1971,0.007287264,0.00374268,0.0541811
1991,0.0059973,-0.004509285,0.04940033
2010,0.0059627295,-0.0044960976,0.05778122
2028,-0.0012347698,0.0050136074,0.05179596
2047,-0.0060243607,0.0026128367,0.056585312
2067,-0.001365602,0.0049369857,0.049409866
2086,0.009420037,-0.0011013895,0.054196358
2105,0.008239508,0.0036806464,0.057785988
2124,0.015525222,0.0061825067,0.054190636
2143,0.009495735,0.0014548898,0.052996635
2162,0.009564161,-0.0044636577,0.055386543
2181,0.0011060834,-0.009054877,0.052999496
2200,-0.0048848987,-0.004253976,0.04940796
2219,-0.0096645355,0.007805869,0.058984756
2238,0.0058050156,0.004146911,0.051808357
2257,0.016456246,8.711964E-4,0.05181694
2277,0.011618257,0.003373906,0.05780506
2296,-0.0040653944,9.423122E-4,0.049434662
2314,-0.008905053,0.0010008216,0.04824066
2334,-0.010035396,-0.0037726313,0.0530262
2353,0.006799817,0.002203606,0.05182457
2372,0.010458589,0.00587859,0.0566082
2391,0.021147966,0.001407668,0.057810783
2410,0.013966501,-0.003715217,0.054219246
2429,-0.0076354146,0.0023178458,0.0530262
2448,-0.014796138,0.0034456775,0.05182743
2467,-0.006476581,-0.0014050603,0.0482378
2486,8.5532665E-4,8.734092E-4,0.053017616
2505,0.012773097,0.0103076175,0.06259537
2524,0.012663841,-4.2849034E-4,0.05781269
2543,0.0066412687,-0.0017126873,0.05183029
2562,0.0017721653,-0.0030074865,0.04704666
2581,-0.01126653,0.005421214,0.06140423
2600,-0.009945273,0.011613138,0.053019524
2619,-0.004025221,-2.951622E-4,0.04703808
2639,0.008872628,9.033531E-4,0.054236412
2657,0.00877291,-0.0051877946,0.056635857
2676,0.009924352,-0.0015915483,0.05783558
2696,-0.0020616055,-0.0015292019,0.038684845
2715,3.681183E-4,0.00445164,0.03868103
2734,-0.006868422,0.0019953623,0.067414284
2753,-0.0056720376,0.009035312,0.06382179
2772,0.0039314628,0.009071276,0.049456596
2791,0.014587879,-0.0017534047,0.048264503
2810,0.012304068,-0.0028278008,0.050653458
2828,0.0051469207,-3.1124055E-4,0.055441856
2848,2.8210878E-4,-0.007532306,0.04946041
2867,-0.010369122,-0.0065509155,0.043466568
2886,-0.012575269,0.005295098,0.05422783
2906,-0.010056734,0.0052311197,0.055416107
2925,0.0017196536,0.00760109,0.05901909
2943,0.0136342645,0.004002899,0.054234505
2962,0.008859634,-0.0056744143,0.051838875
2981,0.0028423667,-0.0020734668,0.06021881
3000,0.011285663,-0.0044543818,0.054231644
3019,4.917979E-4,-4.774034E-4,0.08775139
3038,-0.011652768,0.002184406,-0.045111656
3058,-0.01481688,0.0023279116,0.09132099
3077,-0.0067086816,2.7401E-4,0.13922024
3096,1.5687943E-4,0.0020519644,-0.022360802
3115,0.015824735,-0.0024503693,0.036284447
3134,0.009693921,0.008575432,0.12726974
3152,-1.3780594E-4,-0.0035472214,-7.972717E-4
3172,1.7011166E-4,-0.00761766,0.0063648224
3190,-0.006942868,-0.0038063005,0.11768341
3210,-0.004554391,0.004496902,0.05065155
3229,-0.008241475,0.0135600865,0.009946823
3248,-6.404519E-4,0.01033856,0.097314835
3266,0.0040623546,0.00198254,0.056620598
3286,0.0052212477,-0.005059786,0.017122269
3305,-7.183552E-4,-0.0027045012,0.07577419
3324,-0.0031098723,-0.007292807,0.076973915
3343,0.008827329,0.0010344759,0.017123222
3362,0.0052398443,0.010346837,0.051825523
3381,5.4490566E-4,0.010313593,0.085344315
3401,-0.0029340982,0.0020564422,0.04703331
3419,-0.0016797781,-0.003964074,0.039848328
3439,0.005648315,-0.005086608,0.058992386
3458,0.008018434,-0.0039252266,0.056599617
3477,0.0032166243,-0.007601984,0.041038513
3495,-2.6255846E-4,-0.0016656741,0.05659294
3515,0.0043407083,0.0030638427,0.057801247
