time,x,y,z,absolute
8.032917500E-1,1.321068741E-2,-1.022381089E-3,-3.926873088E-2,4.144394708E-2
8.132467500E-1,7.964519849E-3,-6.229271810E-3,-2.636626482E-2,2.823857865E-2
8.232027500E-1,1.834020303E-2,-9.630967174E-3,-2.061611295E-2,2.922571965E-2
8.331577500E-1,1.242259238E-1,-1.997463685E-3,-3.104871511E-2,1.280628467E-1
8.431127500E-1,6.609589663E0,5.361820740E-1,4.189530015E-3,6.631303362E0
8.530687500E-1,1.070423925E1,7.624558711E-1,1.275470692E-1,1.073211746E1
8.630237500E-1,2.132177978E0,-1.096294755E0,-2.531563711E-1,2.410836633E0
8.729787500E-1,3.090221313E-1,-1.732701614E0,-3.678559381E-1,1.798073288E0
8.829347500E-1,1.376588785E0,-2.741929354E-1,-1.875962198E-2,1.403755809E0
8.928897500E-1,3.035857995E0,7.559978407E-1,6.696289837E-2,3.129289141E0
9.028447500E-1,3.134367206E0,6.797353844E-1,1.305741727E-2,3.207252480E0
9.127997500E-1,5.419749105E-1,-6.244564563E-2,-1.462540662E-1,5.648243215E-1
9.227557500E-1,-1.673155470E0,-5.986460515E-1,7.283291817E-3,1.777042309E0
9.327107500E-1,-1.334130106E0,-3.558747739E-1,-1.279382479E-1,1.386693257E0
9.426657500E-1,-1.613077375E0,-5.998732085E-2,2.859873176E-2,1.614445721E0
9.526217500E-1,-9.649141782E-1,-4.206226100E-2,-3.624688983E-2,9.665104459E-1
9.625767500E-1,6.126709820E-2,8.314101119E-3,-8.090207577E-2,1.018230203E-1
9.725317500E-1,9.106195101E-2,6.794057567E-2,-2.479394853E-2,1.162881792E-1
9.824877500E-1,9.104117694E-1,2.527067202E-1,-4.291680872E-2,9.458076596E-1
9.924427500E-1,2.036566939E0,1.468033847E-1,2.113885403E-2,2.041960573E0
1.002397750E0,2.605747629E0,-1.170344881E-1,-7.243530750E-2,2.609380127E0
1.012352750E0,2.769732499E0,-4.082236897E-1,-4.939143062E-2,2.800090036E0
1.022308750E0,2.813414124E0,-3.673995264E-1,-3.237720251E-2,2.837486516E0
1.032263750E0,2.354656202E0,-1.649895136E-1,-6.716170371E-2,2.361384776E0
