time,x,y,z,absolute
4.473702333E0,-2.445986786E-1,8.340260831E-1,-6.835728389E-1,1.105757590E0
4.483660333E0,-2.091367775E-1,8.937586069E-1,-5.523332530E-1,1.071267782E0
4.493617333E0,-1.591004721E-1,9.399774845E-1,-3.646002084E-1,1.020687976E0
4.503575333E0,-1.383855047E-1,9.196084164E-1,-2.240600413E-1,9.565736195E-1
4.513532333E0,1.415512238E-2,8.900359771E-1,-8.925774693E-2,8.946124040E-1
4.523490333E0,1.053228623E-1,9.622482133E-1,6.006259918E-2,9.698567137E-1
4.533447333E0,7.399158049E-2,1.115063294E0,1.667877334E-1,1.129893381E0
4.543405333E0,8.027043030E-2,1.226467516E0,3.164133042E-1,1.269166376E0
4.553362333E0,1.544800023E-1,1.346495943E0,5.215576029E-1,1.452218210E0
4.563320333E0,9.967149183E-2,1.430476578E0,7.066096991E-1,1.598591541E0
4.573277333E0,1.282709545E-1,1.084436456E0,8.568433803E-1,1.388033300E0
4.583235333E0,2.953948663E-1,9.095671391E-1,4.871221805E-1,1.073246722E0
4.593192333E0,1.966163905E-1,1.053301859E0,-2.776386631E-1,1.106881222E0
4.603150333E0,-2.580098525E-1,-2.097754762E-1,-4.933003485E-2,3.361670518E-1
4.613107333E0,-6.676575219E-1,-1.798032700E0,1.025877614E0,2.175112189E0
4.623065333E0,-9.873011935E-1,-2.526059727E0,2.482262328E0,3.676597293E0
4.633022333E0,-9.619698858E-1,-2.405638952E0,3.826599187E0,4.621184498E0
4.642980333E0,-8.234130943E-1,-2.476208998E0,4.754590318E0,5.423628786E0
4.652937333E0,-3.397170898E-1,-2.598272840E0,4.903907740E0,5.560102569E0
4.662895333E0,1.016784755E-1,-2.623466738E0,3.984303855E0,4.771539946E0
4.672852333E0,1.245084174E-1,-2.661215193E0,2.381946326E0,3.573686745E0
4.682810333E0,-1.940848019E-1,-2.618986017E0,8.938106471E-1,2.774104205E0
4.692767333E0,-5.156152603E-1,-2.453268324E0,-5.912353635E-1,2.575644351E0
4.702725333E0,-7.499711886E-1,-2.426922232E0,-1.719159170E0,3.067232720E0
4.712682333E0,-7.706167569E-1,-2.522304938E0,-2.143370572E0,3.398515822E0
4.722640333E0,-6.800140773E-1,-2.557056110E0,-1.899981975E0,3.257435586E0
4.732597333E0,-6.007735975E-1,-2.392333028E0,-1.306794226E0,2.791397031E0
4.742555333E0,-5.497862059E-1,-2.123969803E0,-6.416740304E-1,2.285882359E0
4.752512333E0,-4.736540328E-1,-1.987973507E0,-1.709258080E-2,2.043692483E0
4.762469333E0,-2.514207348E-1,-2.037364646E0,6.240955460E-1,2.145591372E0
4.772427333E0,6.218853716E-2,-2.053440103E0,1.128117934E0,2.343743532E0
4.782385333E0,3.596965506E-1,-2.019963770E0,1.335726834E0,2.448224135E0
4.792342333E0,5.179060898E-1,-1.877915022E0,1.433232079E0,2.418459373E0
4.802299333E0,6.311086965E-1,-1.750197068E0,1.434881578E0,2.349547426E0
4.812257333E0,6.755370104E-1,-1.675887581E0,1.217569224E0,2.178858474E0
4.822214333E0,6.791351677E-1,-1.536242184E0,8.084483153E-1,1.864095841E0
4.832172333E0,5.880315644E-1,-1.370396291E0,2.873046952E-1,1.518654373E0
4.842129333E0,4.646776797E-1,-1.280949972E0,-1.619064778E-1,1.372214226E0
4.852087333E0,3.921437370E-1,-1.246150852E0,-4.778116590E-1,1.391032939E0
4.862044333E0,2.544649049E-1,-1.167173314E0,-8.184762901E-1,1.448084725E0
4.872002333E0,4.341045991E-3,-1.105044602E0,-1.299302189E0,1.705675407E0
4.881959333E0,-1.945276554E-1,-1.061252465E0,-1.774259822E0,2.076558624E0
4.891916833E0,-3.772850119E-1,-1.024465585E0,-2.084727092E0,2.353287225E0
4.901873833E0,-5.333472707E-1,-1.008624600E0,-2.235644313E0,2.509957846E0
4.911831833E0,-6.388357189E-1,-1.021360640E0,-2.192957885E0,2.502069727E0
4.921788833E0,-6.438310683E-1,-1.076323078E0,-1.894935828E0,2.272393365E0
4.931746833E0,-6.898281902E-1,-1.153268416E0,-1.543433383E0,2.046479313E0
4.941703833E0,-8.115364491E-1,-1.212823331E0,-1.211330829E0,1.896537429E0
4.951661833E0,-7.325763799E-1,-1.247539127E0,-7.167452627E-1,1.614541978E0
4.961618833E0,-5.518399673E-1,-1.260621103E0,-1.169337881E-1,1.381074374E0
4.971576833E0,-4.478446788E-1,-1.173546926E0,2.124737835E-1,1.273939697E0
4.981533833E0,-4.153940206E-1,-1.077496541E0,2.569272405E-1,1.183031105E0
4.991491833E0,-3.722327252E-1,-9.832526544E-1,1.664222825E-1,1.064443216E0
