"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
9.131660417E-1,-2.931442261E-1,2.131328964E1,-4.585752869E1,5.056931071E1
9.231220417E-1,-1.791076660E-1,2.149350357E1,-4.581439209E1,5.060594133E1
9.330780417E-1,-1.085510254E-1,2.145840454E1,-4.594784546E1,5.071172854E1
9.430350417E-1,-6.092834473E-2,2.161474228E1,-4.582049561E1,5.066279319E1
9.529910417E-1,6.135559082E-2,2.149569702E1,-4.643191528E1,5.116631227E1
9.629470417E-1,-1.020050049E-1,2.150458145E1,-4.619624329E1,5.095635703E1
9.729040417E-1,6.103515625E-4,2.135629654E1,-4.576170349E1,5.049975157E1
9.828600417E-1,1.145706177E-1,2.148336792E1,-4.589680481E1,5.067607833E1
9.928170417E-1,-9.511566162E-2,2.129758835E1,-4.592832947E1,5.062615692E1
1.002773042E0,-2.587127686E-1,2.132310104E1,-4.576712036E1,5.049129506E1
1.012729042E0,-4.093475342E-1,2.120998001E1,-4.561669922E1,5.030819083E1
1.022686042E0,-2.661972046E-1,2.127334595E1,-4.580816650E1,5.050756604E1
1.032642042E0,-2.364807129E-1,2.137022400E1,-4.598559570E1,5.070914522E1
1.042598042E0,-2.666702271E-1,2.131996536E1,-4.616134644E1,5.084763456E1
1.052555042E0,-4.241561890E-1,2.117848969E1,-4.610820007E1,5.074124996E1
1.062511042E0,-4.270935059E-1,2.149963379E1,-4.585606384E1,5.064775664E1
1.072467042E0,-6.143493652E-1,2.164891052E1,-4.605921936E1,5.089699834E1
1.082424042E0,-5.712585449E-1,2.150498199E1,-4.587487793E1,5.066848145E1
1.092380042E0,-7.245864868E-1,2.156354141E1,-4.588110352E1,5.070095663E1
1.102337042E0,-6.741409302E-1,2.163152313E1,-4.616978455E1,5.099045268E1
1.112293042E0,-6.866607666E-1,2.153581619E1,-4.584141541E1,5.065272202E1
1.122249042E0,-5.879745483E-1,2.177646637E1,-4.570472717E1,5.063084324E1
1.132206042E0,-6.129913330E-1,2.155810928E1,-4.565101624E1,5.048903958E1
1.142162042E0,-7.460556030E-1,2.140873337E1,-4.581921387E1,5.057954945E1
1.152118042E0,-6.825103760E-1,2.136893463E1,-4.607122803E1,5.079030655E1
1.162075042E0,-9.375457764E-1,2.124378967E1,-4.636845398E1,5.101187231E1
1.172031042E0,-1.111587524E0,2.134904099E1,-4.596237183E1,5.069079603E1
1.181988042E0,-1.371925354E0,2.126561356E1,-4.607131958E1,5.076095928E1
1.191944042E0,-1.285140991E0,2.130299759E1,-4.593527222E1,5.065094794E1
1.201900042E0,-1.753059387E0,2.153702164E1,-4.568095398E1,5.053381120E1
1.211857042E0,-2.052574158E0,2.145077133E1,-4.602125549E1,5.081638130E1
1.221813042E0,-2.371704102E0,2.169687653E1,-4.584588623E1,5.077622195E1
1.231769042E0,-2.400344849E0,2.180620575E1,-4.601815796E1,5.097983059E1
1.241726042E0,-2.624542236E0,2.159338379E1,-4.609492493E1,5.096964341E1
1.251682042E0,-2.985389709E0,2.157157516E1,-4.576597595E1,5.068303426E1
1.261638042E0,-3.152046204E0,2.136289597E1,-4.600363159E1,5.081970916E1
1.271595042E0,-3.366455078E0,2.121611023E1,-4.590933228E1,5.068651836E1
1.281551250E0,-3.434295654E0,2.141436768E1,-4.612754822E1,5.097175918E1
1.291508250E0,-3.832077026E0,2.146388245E1,-4.599250793E1,5.089885903E1
1.301464250E0,-3.887077332E0,2.137164307E1,-4.608729553E1,5.094992941E1
1.311420250E0,-4.094741821E0,2.153989029E1,-4.622543335E1,5.116174814E1
1.321377250E0,-4.208282471E0,2.163589478E1,-4.609140015E1,5.109049571E1
1.331333250E0,-4.487358093E0,2.154595947E1,-4.576448059E1,5.078141822E1
1.341289250E0,-4.772483826E0,2.169948196E1,-4.574113464E1,5.085170123E1
1.351246250E0,-4.926856995E0,2.154703903E1,-4.600115967E1,5.103582567E1
1.361202250E0,-5.335052490E0,2.145605850E1,-4.571305847E1,5.077902073E1
1.371159250E0,-5.628494263E0,2.147370529E1,-4.587713623E1,5.096578848E1
1.381115250E0,-5.646514893E0,2.150297546E1,-4.559233093E1,5.072397583E1
1.391071250E0,-5.736946106E0,2.143179321E1,-4.620594788E1,5.125645257E1
1.401028250E0,-6.333625793E0,2.164319229E1,-4.629728699E1,5.149739188E1
1.410984250E0,-6.326477051E0,2.143208694E1,-4.635160828E1,5.145707194E1
1.420940250E0,-6.575836182E0,2.129808044E1,-4.643489075E1,5.150775603E1
1.430897250E0,-6.938331604E0,2.138830185E1,-4.616577148E1,5.135054389E1
1.440853250E0,-6.737358093E0,2.143320084E1,-4.616340637E1,5.134037573E1
1.450809250E0,-7.325370789E0,2.120262909E1,-4.591230774E1,5.109943776E1
1.460766250E0,-7.217147827E0,2.132025528E1,-4.626066589E1,5.144598835E1
1.470722250E0,-7.417831421E0,2.135796738E1,-4.628300476E1,5.151022736E1
1.480679250E0,-7.726837158E0,2.106739807E1,-4.624984741E1,5.140610528E1
1.490635250E0,-7.856689453E0,2.105253983E1,-4.611857605E1,5.130165747E1
1.500591250E0,-8.028869629E0,2.098934555E1,-4.645025635E1,5.160079155E1
1.510548250E0,-8.498313904E0,2.083094788E1,-4.651542664E1,5.167044265E1
1.520504250E0,-8.839187622E0,2.099287415E1,-4.693334961E1,5.216868130E1
1.530460250E0,-9.011596680E0,2.126349258E1,-4.705902100E1,5.242038200E1
1.540417250E0,-8.959365845E0,2.113264084E1,-4.689265442E1,5.220900098E1
1.550373250E0,-9.342803955E0,2.091423798E1,-4.698910522E1,5.227493994E1
1.560330250E0,-9.530456543E0,2.110993576E1,-4.693377686E1,5.233773399E1
1.570286250E0,-9.661880493E0,2.091429138E1,-4.688052368E1,5.223545749E1
1.580242250E0,-9.830940247E0,2.090819931E1,-4.718255615E1,5.253564304E1
1.590199250E0,-1.012903595E1,2.093359375E1,-4.706321716E1,5.249532480E1
1.600155250E0,-1.045498657E1,2.073900604E1,-4.720469666E1,5.260890136E1
1.610111250E0,-1.046919250E1,2.060186386E1,-4.744810486E1,5.277654253E1
1.620068250E0,-1.080970001E1,2.046002579E1,-4.714416504E1,5.251699312E1
1.630024250E0,-1.106525421E1,2.062147141E1,-4.693637085E1,5.244719098E1
1.639981250E0,-1.136818695E1,2.057286453E1,-4.703492737E1,5.258101199E1
1.649937250E0,-1.188436127E1,2.062044525E1,-4.712863159E1,5.279724160E1
1.659893250E0,-1.186619568E1,2.006763077E1,-4.719128418E1,5.263585952E1
1.669850250E0,-1.185890198E1,2.019052124E1,-4.725120544E1,5.273487575E1
1.679806250E0,-1.223921967E1,2.017227936E1,-4.742700195E1,5.297206685E1
1.689762250E0,-1.256384277E1,2.022349167E1,-4.764976501E1,5.326668627E1
1.699719250E0,-1.263675690E1,1.995635986E1,-4.774014282E1,5.326410762E1
1.709675250E0,-1.280833435E1,1.998056030E1,-4.776649475E1,5.333773748E1
1.719632250E0,-1.330354309E1,1.995931625E1,-4.754872131E1,5.325635608E1
1.729588250E0,-1.329552460E1,1.969356918E1,-4.776771545E1,5.335131002E1
1.739544250E0,-1.359137726E1,1.969387817E1,-4.769401550E1,5.336003643E1
1.749501250E0,-1.366569519E1,1.944700241E1,-4.799153137E1,5.355487103E1
1.759457250E0,-1.402584076E1,1.941595078E1,-4.815441895E1,5.378244525E1
1.769413250E0,-1.422929382E1,1.923376465E1,-4.837432861E1,5.396745477E1
1.779370250E0,-1.441171265E1,1.935756302E1,-4.820471191E1,5.390831993E1
1.789326250E0,-1.461218262E1,1.937715530E1,-4.804273987E1,5.382466797E1
1.799282250E0,-1.486122894E1,1.910944748E1,-4.797468567E1,5.373637105E1
1.809239250E0,-1.512403870E1,1.921201706E1,-4.811531067E1,5.397148568E1
1.819195250E0,-1.520227051E1,1.887950897E1,-4.845004272E1,5.417519292E1
1.829152250E0,-1.538298798E1,1.882207489E1,-4.843963623E1,5.419691117E1
1.839108250E0,-1.552252960E1,1.860321426E1,-4.825462341E1,5.399571452E1
1.849064250E0,-1.554526520E1,1.842654800E1,-4.814373779E1,5.384247793E1
1.859021250E0,-1.602416992E1,1.844927216E1,-4.819468689E1,5.403589094E1
1.868977250E0,-1.619328308E1,1.840493774E1,-4.856291199E1,5.439963760E1
1.878933250E0,-1.625221252E1,1.819287109E1,-4.856332397E1,5.434621796E1
1.888890250E0,-1.659367371E1,1.834860992E1,-4.869137573E1,5.461567141E1
1.898846250E0,-1.667266846E1,1.821811295E1,-4.882101440E1,5.471168943E1
1.908803250E0,-1.715625000E1,1.810212708E1,-4.896397400E1,5.494992874E1
1.918759250E0,-1.736258698E1,1.800835800E1,-4.891743469E1,5.494247720E1
1.928715250E0,-1.711419678E1,1.769570541E1,-4.925520325E1,5.506458724E1
1.938672250E0,-1.726308441E1,1.764245987E1,-4.940875244E1,5.523128906E1
1.948628250E0,-1.762490845E1,1.773409653E1,-4.904823303E1,5.505329001E1
1.958584250E0,-1.797659302E1,1.761535645E1,-4.921432495E1,5.527665384E1
1.968541250E0,-1.825018311E1,1.721611404E1,-4.905870056E1,5.510190439E1
1.978497250E0,-1.853080750E1,1.694443512E1,-4.912304688E1,5.516863640E1
1.988454250E0,-1.879328918E1,1.675566864E1,-4.915209961E1,5.522561947E1
1.998410250E0,-1.892415619E1,1.680308151E1,-4.939770508E1,5.550315759E1
2.008366250E0,-1.905115509E1,1.659186935E1,-4.972880554E1,5.577804890E1
2.018323250E0,-1.952729034E1,1.631170273E1,-4.976165771E1,5.588925919E1
2.028279250E0,-1.987422180E1,1.610508728E1,-4.957473755E1,5.578542042E1
2.038235250E0,-2.009478760E1,1.599587250E1,-4.951576233E1,5.578063414E1
2.048192250E0,-2.029589844E1,1.591312408E1,-4.951721191E1,5.583104233E1
2.058148250E0,-2.053909302E1,1.569379425E1,-4.955316162E1,5.588976066E1
2.068105250E0,-2.071142578E1,1.549923325E1,-4.952423096E1,5.587341802E1
2.078061250E0,-2.085357666E1,1.529886246E1,-4.986123657E1,5.617000770E1
2.088017250E0,-2.121108246E1,1.531848526E1,-4.991812134E1,5.635942554E1
2.097974250E0,-2.135495758E1,1.513718033E1,-5.014869690E1,5.656907496E1
2.107930250E0,-2.142428589E1,1.495936584E1,-5.041375732E1,5.678318043E1
2.117886250E0,-2.155411530E1,1.471115875E1,-5.009825134E1,5.648745760E1
2.127843250E0,-2.219857025E1,1.444694138E1,-5.007806396E1,5.665071162E1
2.137799250E0,-2.221437836E1,1.425386047E1,-5.000735474E1,5.654543900E1
2.147756250E0,-2.249169159E1,1.401887131E1,-4.992456055E1,5.652315180E1
2.157712250E0,-2.231563568E1,1.365427017E1,-4.984391785E1,5.629247584E1
2.167668250E0,-2.283124542E1,1.335188293E1,-4.966140747E1,5.626538845E1
2.177625250E0,-2.289064789E1,1.323237610E1,-5.001364136E1,5.657244789E1
2.187581250E0,-2.308967590E1,1.292597580E1,-4.986288452E1,5.644928021E1
2.197537250E0,-2.313378143E1,1.316475677E1,-4.979641724E1,5.646384537E1
2.207494250E0,-2.351405334E1,1.278134918E1,-5.035281372E1,5.702349903E1
2.217450250E0,-2.365381622E1,1.266283035E1,-5.016777039E1,5.689161168E1
2.227407250E0,-2.366307068E1,1.247908020E1,-5.000144958E1,5.670814154E1
2.237363250E0,-2.415630341E1,1.230997086E1,-5.005064392E1,5.692213395E1
2.247319250E0,-2.420523071E1,1.221303558E1,-5.034904480E1,5.718459359E1
2.257276250E0,-2.456390381E1,1.181888580E1,-5.031275940E1,5.722276811E1
2.267232250E0,-2.460261536E1,1.170843124E1,-5.042669678E1,5.731690669E1
2.277188250E0,-2.455483246E1,1.152465248E1,-5.070819092E1,5.750719988E1
2.287145292E0,-2.449201965E1,1.132756805E1,-5.056350708E1,5.731353307E1
2.297101292E0,-2.449201965E1,1.132756805E1,-5.056350708E1,5.731353307E1
2.307058292E0,-2.472083282E1,1.129335213E1,-5.043408203E1,5.729097667E1
