"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.294845958E0,-4.851150513E1,-3.783196449E0,-9.515655518E0
1.304800958E0,-4.853851318E1,-3.675608635E0,-9.324523926E0
1.314756958E0,-4.876165771E1,-3.658774376E0,-9.329605103E0
1.324711958E0,-4.863945007E1,-3.644923210E0,-8.785766602E0
1.334666958E0,-4.883757019E1,-3.586815834E0,-9.240524292E0
1.344622958E0,-4.877888489E1,-3.590429306E0,-9.128784180E0
1.354577958E0,-4.872447205E1,-3.482690811E0,-9.389083862E0
1.364533958E0,-4.852195740E1,-3.720789909E0,-9.332214355E0
1.374488958E0,-4.846823120E1,-3.800606728E0,-9.269073486E0
1.384443958E0,-4.852363586E1,-3.850089073E0,-9.498687744E0
1.394399958E0,-4.853822327E1,-3.710310936E0,-9.429885864E0
1.404354958E0,-4.847718811E1,-3.647954941E0,-9.005722046E0
1.414309958E0,-4.846298218E1,-3.790705681E0,-8.990585327E0
1.424265958E0,-4.854762268E1,-3.590919495E0,-9.221206665E0
1.434220958E0,-4.860295105E1,-3.614619255E0,-9.026519775E0
1.444175958E0,-4.884587097E1,-3.644440651E0,-8.828765869E0
1.454131958E0,-4.875004578E1,-3.632384300E0,-8.816680908E0
1.464086958E0,-4.879136658E1,-3.814524651E0,-9.225860596E0
1.474041958E0,-4.851644897E1,-3.794535637E0,-9.297912598E0
1.483997958E0,-4.877603149E1,-3.834727287E0,-8.903701782E0
1.493952958E0,-4.886418152E1,-3.823733330E0,-9.350936890E0
1.503908958E0,-4.898931885E1,-3.736082077E0,-9.066009521E0
1.513863958E0,-4.879299927E1,-3.506187439E0,-9.353820801E0
1.523818958E0,-4.859477234E1,-3.851854324E0,-9.325897217E0
1.533774958E0,-4.852821350E1,-3.819591522E0,-9.205459595E0
1.543729958E0,-4.885108948E1,-3.615165710E0,-9.469772339E0
1.553684958E0,-4.879180908E1,-3.564417839E0,-9.361129761E0
1.563640958E0,-4.887991333E1,-3.524070740E0,-9.258056641E0
1.573595958E0,-4.865966797E1,-3.546438217E0,-9.463577271E0
1.583550958E0,-4.853738403E1,-3.366238594E0,-9.350601196E0
1.593506958E0,-4.847419739E1,-3.586203575E0,-9.705505371E0
1.603461958E0,-4.844241333E1,-3.780018806E0,-9.677932739E0
1.613417958E0,-4.844241333E1,-3.780018806E0,-9.677932739E0
1.623372958E0,-4.834164429E1,-3.954011917E0,-9.591079712E0
1.633327958E0,-4.870448303E1,-3.732335091E0,-9.122329712E0
1.643283958E0,-4.878474426E1,-3.576392174E0,-9.194366455E0
1.653238958E0,-4.859268188E1,-3.774595261E0,-9.372009277E0
1.663193958E0,-4.850083923E1,-3.535029411E0,-9.565063477E0
1.673149958E0,-4.861752319E1,-3.573616028E0,-9.367706299E0
1.683104958E0,-4.841905212E1,-3.578943253E0,-9.457244873E0
1.693059958E0,-4.837994385E1,-3.514418602E0,-9.454284668E0
1.703015958E0,-4.808023071E1,-3.501587868E0,-9.725234985E0
1.712970958E0,-4.827877808E1,-3.486932755E0,-9.886123657E0
1.722926958E0,-4.855859375E1,-3.687950134E0,-9.622680664E0
1.732881958E0,-4.831721497E1,-3.745150566E0,-9.810623169E0
1.742836958E0,-4.847937012E1,-3.767794609E0,-9.773162842E0
1.752792958E0,-4.843174744E1,-3.477684021E0,-9.689346313E0
1.762747958E0,-4.846609497E1,-3.722442627E0,-1.006867981E1
1.772702958E0,-4.831033325E1,-3.854171753E0,-9.945144653E0
1.782658958E0,-4.836468506E1,-3.836777687E0,-9.759979248E0
1.792613958E0,-4.830996704E1,-3.890402794E0,-9.470230103E0
1.802568958E0,-4.824328613E1,-3.772107124E0,-9.103973389E0
1.812524958E0,-4.854400635E1,-3.655467033E0,-9.542068481E0
1.822479958E0,-4.869281006E1,-3.688072205E0,-9.536087036E0
1.832435958E0,-4.854862976E1,-3.690834999E0,-9.359283447E0
1.842390958E0,-4.869329834E1,-3.867663383E0,-9.289978027E0
1.852345958E0,-4.854402161E1,-3.977427483E0,-8.998718262E0
1.862301958E0,-4.852377319E1,-3.668077469E0,-9.301589966E0
1.872256958E0,-4.831753540E1,-3.708623886E0,-9.435134888E0
1.882211958E0,-4.842950439E1,-3.832730293E0,-9.419906616E0
1.892167958E0,-4.825410461E1,-3.866414070E0,-9.187301636E0
1.902122958E0,-4.834454346E1,-3.610808372E0,-9.441864014E0
1.912077958E0,-4.831153870E1,-3.645855904E0,-9.206893921E0
1.922033958E0,-4.828965759E1,-3.786844254E0,-9.720062256E0
1.931988958E0,-4.835087585E1,-3.895751953E0,-9.681076050E0
1.941944958E0,-4.842074585E1,-3.841800690E0,-9.413040161E0
1.951899958E0,-4.836878967E1,-3.796459198E0,-9.439224243E0
1.961854958E0,-4.838941956E1,-3.961496353E0,-9.514373779E0
1.971810958E0,-4.845439148E1,-3.623481750E0,-9.366119385E0
1.981765958E0,-4.812199402E1,-3.731812477E0,-9.276092529E0
1.991720958E0,-4.815586853E1,-3.779051781E0,-9.472000122E0
2.001676958E0,-4.833335876E1,-3.846028328E0,-9.466003418E0
2.011631958E0,-4.842407227E1,-3.576329231E0,-9.182891846E0
2.021586958E0,-4.840982056E1,-3.880495071E0,-9.402069092E0
2.031542958E0,-4.856690979E1,-3.948375702E0,-9.080596924E0
2.041497958E0,-4.842015076E1,-3.850773811E0,-9.072235107E0
2.051453958E0,-4.844523621E1,-3.881286621E0,-9.010498047E0
2.061408958E0,-4.862467957E1,-3.818656921E0,-8.963500977E0
2.071363958E0,-4.844699097E1,-3.847618103E0,-9.287994385E0
2.081319958E0,-4.863290405E1,-3.859833717E0,-9.196258545E0
2.091274958E0,-4.854252625E1,-3.754346848E0,-8.921813965E0
2.101229958E0,-4.874041748E1,-3.957184792E0,-9.146835327E0
2.111185958E0,-4.860780334E1,-3.612310410E0,-9.037033081E0
2.121140958E0,-4.825585938E1,-3.623337746E0,-9.157943726E0
2.131095958E0,-4.838633728E1,-3.720539093E0,-9.130767822E0
2.141051958E0,-4.851240540E1,-3.809867859E0,-9.414489746E0
2.151006958E0,-4.843679810E1,-3.770920753E0,-9.313461304E0
2.160962958E0,-4.832089233E1,-3.617021561E0,-9.032684326E0
2.170917958E0,-4.865528870E1,-3.615661621E0,-8.994003296E0
2.180872958E0,-4.850541687E1,-3.591204643E0,-9.385238647E0
2.190828958E0,-4.868347168E1,-3.704964638E0,-9.676559448E0
2.200783958E0,-4.863113403E1,-3.569005966E0,-9.611587524E0
2.210738958E0,-4.856613159E1,-3.445122719E0,-9.475158691E0
2.220694958E0,-4.828727722E1,-3.470469475E0,-9.413528442E0
2.230649958E0,-4.861619568E1,-3.559925079E0,-9.262313843E0
2.240604583E0,-4.825096130E1,-3.629158020E0,-8.857757568E0
2.250560583E0,-4.836219788E1,-3.695091248E0,-9.163253784E0
2.260515583E0,-4.857508850E1,-3.623362541E0,-8.927917480E0
2.270471583E0,-4.843515015E1,-3.617423058E0,-8.692611694E0
2.280426583E0,-4.813723755E1,-3.395000458E0,-9.119033813E0
2.290381583E0,-4.837475586E1,-3.514986992E0,-8.939117432E0
2.300337583E0,-4.801300049E1,-3.497853279E0,-9.218811035E0
2.310292583E0,-4.825915527E1,-3.619798660E0,-8.978500366E0
2.320247583E0,-4.830209351E1,-3.403830528E0,-9.105789185E0
2.330203583E0,-4.828654480E1,-3.495919228E0,-9.240921021E0
2.340158583E0,-4.819374084E1,-3.774134636E0,-9.381576538E0
2.350113583E0,-4.847328186E1,-3.482763290E0,-9.204879761E0
2.360069583E0,-4.825724792E1,-3.658403397E0,-9.073791504E0
2.370024583E0,-4.825424194E1,-3.805272102E0,-8.894104004E0
2.379980583E0,-4.819612122E1,-3.865061760E0,-9.042251587E0
2.389935583E0,-4.829992676E1,-3.866806984E0,-8.999908447E0
2.399890583E0,-4.847897339E1,-3.687899590E0,-9.065490723E0
2.409846583E0,-4.851182556E1,-3.617190361E0,-8.788085938E0
2.419801583E0,-4.854016113E1,-3.903335571E0,-9.168533325E0
2.429756583E0,-4.873034668E1,-3.872045517E0,-8.915191650E0
2.439712583E0,-4.890660095E1,-3.860301971E0,-8.911804199E0
2.449667583E0,-4.866255188E1,-3.801070213E0,-9.275451660E0
2.459623583E0,-4.850535583E1,-3.707276344E0,-9.574523926E0
2.469578583E0,-4.840774536E1,-3.571247101E0,-9.602005005E0
2.479533583E0,-4.834443665E1,-3.579011917E0,-9.147216797E0
2.489489583E0,-4.837484741E1,-3.512439728E0,-9.078033447E0
2.499444583E0,-4.831129456E1,-3.645945549E0,-9.343124390E0
2.509399583E0,-4.867265320E1,-3.745214462E0,-9.559631348E0
2.519355583E0,-4.873843384E1,-3.789917946E0,-9.365264893E0
2.529310583E0,-4.867486572E1,-3.701100349E0,-9.046524048E0
2.539265583E0,-4.839497375E1,-3.750225067E0,-9.135269165E0
2.549221583E0,-4.850425720E1,-3.800818443E0,-9.258682251E0
2.559176583E0,-4.866674805E1,-3.735804558E0,-9.394439697E0
2.569131583E0,-4.851342773E1,-3.832508087E0,-9.163192749E0
2.579087583E0,-4.860400391E1,-3.825034142E0,-9.099655151E0
2.589042583E0,-4.869285583E1,-3.787255287E0,-9.015350342E0
2.598998583E0,-4.855796814E1,-3.585931778E0,-8.858154297E0
2.608953583E0,-4.851681519E1,-3.899809837E0,-8.973495483E0
2.618908583E0,-4.850393677E1,-3.746370316E0,-9.180511475E0
2.628864583E0,-4.826089478E1,-3.627041817E0,-9.095077515E0
2.638819583E0,-4.826724243E1,-3.823548317E0,-9.111557007E0
2.648774583E0,-4.803877258E1,-3.859118462E0,-9.499816895E0
2.658730583E0,-4.827037048E1,-3.854974747E0,-9.689697266E0
2.668685583E0,-4.846318054E1,-3.676465034E0,-9.273834229E0
2.678641583E0,-4.839442444E1,-3.727177620E0,-8.958282471E0
2.688596583E0,-4.837005615E1,-3.658332825E0,-8.865493774E0
2.698551583E0,-4.836601257E1,-3.771347046E0,-8.974899292E0
2.708507583E0,-4.817526245E1,-3.660686493E0,-8.947387695E0
2.718462583E0,-4.840693665E1,-3.832338333E0,-8.683670044E0
2.728417583E0,-4.831465149E1,-3.657665253E0,-8.918182373E0
2.738373583E0,-4.826742554E1,-3.537717819E0,-8.790573120E0
2.748328583E0,-4.844380188E1,-3.625686646E0,-8.729095459E0
2.758283583E0,-4.830342102E1,-3.586111069E0,-8.941925049E0
2.768239583E0,-4.833421326E1,-3.735640526E0,-8.697799683E0
2.778194583E0,-4.818638611E1,-3.688217163E0,-8.788452148E0
2.788150583E0,-4.834559631E1,-3.783159256E0,-8.766448975E0
2.798105583E0,-4.809808350E1,-3.891363144E0,-9.101608276E0
2.808060583E0,-4.823414612E1,-3.832822800E0,-9.179870605E0
2.818016583E0,-4.825564575E1,-3.570071220E0,-9.237960815E0
2.827971583E0,-4.822897339E1,-3.710837364E0,-9.255004883E0
2.837926583E0,-4.797517395E1,-3.826930046E0,-9.201538086E0
2.847882583E0,-4.832075500E1,-3.486764908E0,-9.436630249E0
2.857837583E0,-4.843667603E1,-3.232203484E0,-9.303558350E0
2.867792583E0,-4.844187927E1,-3.355749130E0,-9.162185669E0
