,torso_7_Xposition,torso_7_Yposition,torso_7_Zposition,torso_7_Zrotation,torso_7_Xrotation,torso_7_Yrotation
48,-2.90401e-17,10.5513,1.57691,0.00749084,0.131901,-0.0130111
49,-2.90401e-17,10.5513,1.57691,0.00753414,0.132106,-0.0130426
50,-2.90401e-17,10.5513,1.57691,0.00759897,0.132437,-0.0130614
51,-2.90401e-17,10.5513,1.57691,0.00768128,0.132772,-0.0130593
52,-2.90401e-17,10.5513,1.57691,0.00777045,0.132941,-0.0130236
53,-2.90401e-17,10.5513,1.57691,0.00787502,0.133171,-0.0129541
54,-2.90401e-17,10.5513,1.57691,0.00798353,0.133377,-0.0128686
55,-2.90401e-17,10.5513,1.57691,0.00810582,0.133473,-0.0127903
56,-2.90401e-17,10.5513,1.57691,0.00824972,0.133419,-0.0127324
57,-2.90401e-17,10.5513,1.57691,0.00839352,0.133276,-0.0126802
58,-2.90401e-17,10.5513,1.57691,0.00849398,0.133483,-0.012566
59,-2.90401e-17,10.5513,1.57691,0.00858367,0.133737,-0.0124614
60,-2.90401e-17,10.5513,1.57691,0.00865547,0.134094,-0.0123681
61,-2.90401e-17,10.5513,1.57691,0.00871214,0.134521,-0.0122834
62,-2.90401e-17,10.5513,1.57691,0.00875872,0.134952,-0.0122089
63,-2.90401e-17,10.5513,1.57691,0.00879319,0.135346,-0.0121604
64,-2.90401e-17,10.5513,1.57691,0.00884197,0.135752,-0.0120967
65,-2.90401e-17,10.5513,1.57691,0.00891668,0.136159,-0.0120525
66,-2.90401e-17,10.5513,1.57691,0.0089771,0.136539,-0.0119961
67,-2.90401e-17,10.5513,1.57691,0.00901759,0.136886,-0.0119299
68,-2.90401e-17,10.5513,1.57691,0.00904827,0.137211,-0.0118716
69,-2.90401e-17,10.5513,1.57691,0.00907224,0.137542,-0.0118304
70,-2.90401e-17,10.5513,1.57691,0.00903641,0.137941,-0.0118089
71,-2.90401e-17,10.5513,1.57691,0.00899945,0.138308,-0.0118357
72,-2.90401e-17,10.5513,1.57691,0.0089759,0.138607,-0.0118651
73,-2.90401e-17,10.5513,1.57691,0.00895907,0.138859,-0.0119021
74,-2.90401e-17,10.5513,1.57691,0.008935,0.1391,-0.0119681
75,-2.90401e-17,10.5513,1.57691,0.00889781,0.139339,-0.0120613
76,-2.90401e-17,10.5513,1.57691,0.0088627,0.139639,-0.012142
77,-2.90401e-17,10.5513,1.57691,0.00879818,0.139897,-0.0122427
78,-2.90401e-17,10.5513,1.57691,0.00873039,0.140099,-0.0123362
79,-2.90401e-17,10.5513,1.57691,0.00865808,0.140285,-0.012402
80,-2.90401e-17,10.5513,1.57691,0.00857785,0.140498,-0.0124285
81,-2.90401e-17,10.5513,1.57691,0.00851476,0.140723,-0.0124153
82,-2.90401e-17,10.5513,1.57691,0.0084735,0.140937,-0.0123461
83,-2.90401e-17,10.5513,1.57691,0.00845865,0.141178,-0.0122572
84,-2.90401e-17,10.5513,1.57691,0.00847248,0.141414,-0.0121477
85,-2.90401e-17,10.5513,1.57691,0.00850733,0.141621,-0.0120281
86,-2.90401e-17,10.5513,1.57691,0.00855433,0.141797,-0.0119131
87,-2.90401e-17,10.5513,1.57691,0.00861364,0.141987,-0.011812
88,-2.90401e-17,10.5513,1.57691,0.00865594,0.142157,-0.0117053
89,-2.90401e-17,10.5513,1.57691,0.00868932,0.142241,-0.0116231
90,-2.90401e-17,10.5513,1.57691,0.00872634,0.142281,-0.0115709
91,-2.90401e-17,10.5513,1.57691,0.00877421,0.142296,-0.0115502
92,-2.90401e-17,10.5513,1.57691,0.00883749,0.142292,-0.0115566
