"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
8.300380417E-1,6.729277084E-4,1.555897761E-4,9.073119145E-4,1.140287152E-3
8.399950417E-1,1.009284984E-3,3.438468324E-3,-3.797960933E-3,5.221707369E-3
8.499510417E-1,-1.224052161E-3,1.150400960E-3,6.052404642E-4,1.785508914E-3
8.599080417E-1,-2.227034420E-4,1.324305311E-3,5.873974878E-4,1.465747996E-3
8.698640417E-1,-8.747349493E-4,4.653865471E-5,-1.270305831E-3,1.543050220E-3
8.798210417E-1,3.109043464E-4,1.333577093E-4,-1.609592699E-3,1.644759693E-3
8.897780417E-1,2.006503288E-3,2.303167246E-3,7.166527212E-5,3.055449348E-3
8.997340417E-1,-4.846176598E-4,5.734440638E-4,-2.529742196E-4,7.922678375E-4
9.096910417E-1,4.761723801E-3,-2.066668821E-4,-1.831094269E-3,5.105842828E-3
9.196470417E-1,6.713750772E-4,5.054404028E-6,-4.033735022E-4,7.832497836E-4
9.296040417E-1,-3.714056220E-4,-3.482806729E-3,1.336365705E-3,3.748834238E-3
9.395610417E-1,1.345267985E-3,1.480526640E-3,1.004535705E-3,2.238480973E-3
9.495170416E-1,-1.528010704E-3,-3.340106341E-4,8.948566392E-4,1.801984522E-3
9.594740417E-1,2.706882078E-4,-1.552406698E-3,-1.776826568E-3,2.374942382E-3
9.694310417E-1,-7.592842449E-4,-1.252216985E-3,-1.717275009E-3,2.256899067E-3
9.793870416E-1,-1.434395555E-3,6.671230076E-4,7.922218647E-4,1.769225593E-3
9.893440416E-1,1.559882192E-3,-7.052568253E-4,9.778668173E-4,1.971507838E-3
9.993000417E-1,2.694655210E-3,-1.715593971E-4,-1.338550821E-3,3.013688376E-3
1.009257042E0,-3.582211211E-4,-3.560331184E-3,3.362273332E-3,4.910108193E-3
1.019214042E0,1.940619433E-3,2.554462990E-4,1.174752833E-3,2.282827373E-3
1.029170042E0,-2.016335493E-3,1.019101357E-3,2.182471333E-3,3.141235030E-3
1.039127042E0,3.799767001E-4,1.208984759E-3,-7.355543785E-4,1.465287236E-3
1.049083042E0,2.471878426E-3,2.704553772E-4,-2.788682468E-4,2.502218329E-3
1.059040042E0,5.943498109E-4,2.245455515E-3,6.889246870E-4,2.422795780E-3
1.068997042E0,-7.936682086E-4,3.046597121E-4,-7.188706659E-4,1.113329152E-3
1.078953042E0,2.620770596E-3,-8.980238927E-4,3.446579678E-3,4.421967538E-3
1.088910042E0,7.125865668E-4,-1.339785522E-4,1.156502403E-4,7.342375949E-4
1.098866042E0,1.639100257E-3,1.972581726E-3,-1.452152617E-3,2.947282739E-3
1.108823042E0,-3.638014663E-3,-1.037832582E-3,2.966492902E-4,3.794765863E-3
1.118780042E0,-1.381518319E-3,-6.929531810E-4,-6.554308347E-4,1.678799141E-3
1.128736042E0,-5.767836701E-4,1.761565451E-3,7.758459542E-4,2.009410158E-3
1.138693042E0,-1.107817981E-3,5.564850289E-4,-1.826258376E-4,1.253111513E-3
