"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.492237208E0,-3.560795593E1,9.108038902E0,-1.324508667E0
1.502194208E0,-3.571891785E1,9.035010338E0,-1.016738892E0
1.512150208E0,-3.571377563E1,8.892611504E0,-1.061035156E0
1.522107208E0,-3.565463257E1,8.961461067E0,-9.917297363E-1
1.532064208E0,-3.572947693E1,8.789109230E0,-6.816253662E-1
1.542020208E0,-3.551800537E1,8.773339272E0,-1.040283203E0
1.551977208E0,-3.541239929E1,8.706881523E0,-1.054107666E0
1.561934208E0,-3.554609680E1,8.601098061E0,-1.093185425E0
1.571890208E0,-3.556607056E1,8.788643837E0,-1.280441284E0
1.581847208E0,-3.589253235E1,8.818289757E0,-9.837951660E-1
1.591804208E0,-3.567959595E1,8.830571175E0,-1.647430420E0
1.601760208E0,-3.551730347E1,8.832406044E0,-1.161468506E0
1.611717208E0,-3.552774048E1,8.883360863E0,-1.282302856E0
1.621674208E0,-3.537895203E1,8.703907967E0,-1.200256348E0
1.631631208E0,-3.546324158E1,8.888236046E0,-1.248474121E0
1.641587208E0,-3.559173584E1,9.031868935E0,-1.063659668E0
1.651544208E0,-3.561183167E1,8.954287529E0,-1.205688477E0
1.661501208E0,-3.565628052E1,8.788464546E0,-9.588317871E-1
1.671457208E0,-3.552462769E1,8.866312981E0,-9.334411621E-1
1.681414208E0,-3.560650635E1,9.029570580E0,-8.627471924E-1
1.691371208E0,-3.569053650E1,9.039334297E0,-1.176406860E0
1.701327208E0,-3.574143982E1,8.881834984E0,-1.635009766E0
1.711284208E0,-3.577386475E1,9.052163124E0,-1.409439087E0
1.721241208E0,-3.564897156E1,8.793671608E0,-1.330718994E0
1.731197208E0,-3.554780579E1,8.894669533E0,-1.242691040E0
1.741154208E0,-3.554675293E1,8.915709496E0,-1.068359375E0
1.751111208E0,-3.549209595E1,8.857707024E0,-1.065505981E0
1.761067208E0,-3.538392639E1,8.834496498E0,-1.003341675E0
1.771024208E0,-3.535183716E1,8.996859550E0,-1.154174805E0
1.780981208E0,-3.556733704E1,8.865454674E0,-1.245941162E0
1.790937208E0,-3.553866577E1,8.891346931E0,-9.692382812E-1
1.800894208E0,-3.542521667E1,8.757464409E0,-1.148071289E0
1.810851208E0,-3.539292908E1,8.751311302E0,-9.230346680E-1
1.820808208E0,-3.563020325E1,8.723645210E0,-1.128906250E0
1.830764208E0,-3.562507629E1,8.920914650E0,-1.529571533E0
1.840721208E0,-3.529713440E1,8.783268929E0,-1.088378906E0
1.850678208E0,-3.539930725E1,8.933058739E0,-8.704071045E-1
1.860634208E0,-3.541932678E1,9.012455940E0,-8.580169678E-1
1.870591208E0,-3.548881531E1,8.996575356E0,-6.864013672E-1
1.880548208E0,-3.549644470E1,9.122303963E0,-1.115142822E0
1.890504208E0,-3.539637756E1,9.057137489E0,-1.302749634E0
1.900461208E0,-3.552423096E1,9.033043861E0,-1.019058228E0
1.910418208E0,-3.558078003E1,9.063891411E0,-8.977661133E-1
1.920374208E0,-3.549609375E1,9.177857399E0,-9.136352539E-1
1.930331208E0,-3.550038147E1,8.959290504E0,-1.225585938E0
1.940288208E0,-3.548442078E1,8.910946846E0,-1.217453003E0
1.950244208E0,-3.553871155E1,8.973687172E0,-9.984893799E-1
1.960201208E0,-3.557531738E1,9.066996574E0,-8.613586426E-1
1.970158208E0,-3.541613770E1,9.090931892E0,-7.320404053E-1
1.980114208E0,-3.560113525E1,9.003899574E0,-7.828521729E-1
1.990071208E0,-3.577914429E1,9.024977684E0,-9.546813965E-1
2.000028083E0,-3.538612366E1,9.028182030E0,-6.029052734E-1
2.009984083E0,-3.527723694E1,9.039845467E0,-7.487030029E-1
2.019941083E0,-3.551902771E1,8.938841820E0,-6.734008789E-1
2.029898083E0,-3.563893127E1,9.214344978E0,-6.657562256E-1
2.039855083E0,-3.542303467E1,9.051096916E0,-7.701110840E-1
2.049811083E0,-3.539454651E1,8.981133461E0,-8.790893555E-1
2.059768083E0,-3.549743652E1,9.148135185E0,-1.116958618E0
2.069725083E0,-3.527816772E1,9.078745842E0,-1.309265137E0
2.079681083E0,-3.548083496E1,8.938778877E0,-8.544616699E-1
2.089638083E0,-3.551100159E1,9.238801003E0,-7.620697021E-1
2.099595083E0,-3.541020203E1,9.152972221E0,-1.213623047E0
2.109551083E0,-3.534552002E1,9.063780785E0,-9.779052734E-1
2.119508083E0,-3.545573425E1,9.128453255E0,-1.140075684E0
2.129465083E0,-3.554968262E1,9.299246788E0,-9.578857422E-1
2.139421083E0,-3.526576233E1,9.135987282E0,-1.022003174E0
2.149378083E0,-3.535079956E1,9.117838860E0,-7.350921631E-1
2.159335083E0,-3.545960999E1,9.022933006E0,-6.977233887E-1
2.169291083E0,-3.552816772E1,9.050293922E0,-9.383239746E-1
2.179248083E0,-3.536445618E1,8.793848991E0,-8.420410156E-1
2.189205083E0,-3.541505432E1,8.741187096E0,-8.911895752E-1
2.199161083E0,-3.547732544E1,8.897482872E0,-1.158157349E0
2.209118083E0,-3.515942383E1,8.948340416E0,-1.043533325E0
2.219075083E0,-3.537229919E1,8.686945915E0,-1.212692261E0
2.229032083E0,-3.512438965E1,8.948042870E0,-1.243789673E0
2.238988083E0,-3.551020813E1,8.839772224E0,-1.053894043E0
2.248945083E0,-3.540310669E1,8.936686516E0,-1.362350464E0
2.258902083E0,-3.553088379E1,9.024306297E0,-1.372009277E0
2.268858083E0,-3.550553894E1,8.810479164E0,-1.358795166E0
2.278815083E0,-3.542880249E1,8.766430855E0,-1.522293091E0
2.288772083E0,-3.523468018E1,9.092597008E0,-1.316848755E0
2.298728083E0,-3.522799683E1,9.084540367E0,-1.434249878E0
2.308685083E0,-3.539610291E1,9.043944359E0,-1.718872070E0
2.318642083E0,-3.558444214E1,9.168610573E0,-1.703430176E0
2.328598083E0,-3.542500305E1,9.120497704E0,-1.802398682E0
2.338555083E0,-3.513674927E1,9.015501976E0,-1.593582153E0
