time,x,y,z,norm
1.238561292E0,-3.855528377E-3,6.037741327E-1,-5.039949059E-2,6.058862741E-1
1.248515292E0,-6.342963152E-2,1.496645096E-1,-5.235246062E-2,1.707734280E-1
1.258469292E0,-6.385160863E-2,9.953844940E-2,-5.025974214E-2,1.284950291E-1
1.268423292E0,-6.975677110E-2,1.710215561E-2,-4.082935274E-2,8.261674701E-2
1.278377292E0,-5.064959611E-2,2.709747741E-2,-8.019573212E-2,9.864588343E-2
1.288331292E0,-5.020570565E-2,2.415691266E-2,-4.547204196E-2,7.191575564E-2
1.298285292E0,-6.273989305E-2,2.351899970E-2,-4.023176730E-2,7.815390346E-2
1.308239292E0,-8.756120472E-2,3.002245568E-2,-4.801733494E-2,1.042783624E-1
1.318193292E0,-7.444363422E-2,2.399282517E-2,-3.379983008E-2,8.520527477E-2
1.328147292E0,-7.015368284E-2,2.894713445E-2,-5.550527930E-2,9.402293252E-2
1.338101292E0,-6.781698472E-2,1.798641907E-2,-6.612967014E-2,9.641466673E-2
1.348055292E0,-5.786234675E-2,2.687011208E-2,-5.924223483E-2,8.706145233E-2
1.358009292E0,-4.527527402E-2,2.996539051E-2,-5.385285616E-2,7.647159723E-2
1.367963292E0,-6.062550332E-2,2.864892645E-2,-5.699398041E-2,8.800299110E-2
1.377917292E0,-6.670488541E-2,2.705325784E-2,-4.561880708E-2,8.522027961E-2
1.387871292E0,-5.403936407E-2,1.854323845E-2,-5.863880217E-2,8.186949176E-2
1.397825292E0,-5.719590121E-2,2.190409010E-2,-5.579354703E-2,8.284974453E-2
1.407779292E0,-6.385515350E-2,2.138650188E-2,-5.040299892E-2,8.411495344E-2
1.417733292E0,-7.688316568E-2,2.741266061E-2,-5.669050992E-2,9.937952023E-2
1.427687292E0,-7.403182121E-2,2.914995974E-2,-5.863821745E-2,9.883760039E-2
1.437641292E0,-6.598170818E-2,2.229680372E-2,-5.683902919E-2,8.989665461E-2
1.447595292E0,-5.718198666E-2,1.981562912E-2,-5.714016080E-2,8.323122450E-2
1.457549292E0,-5.384280169E-2,2.092903035E-2,-4.920841277E-2,7.588504129E-2
1.467503292E0,-5.768727746E-2,2.236185400E-2,-6.028713226E-2,8.638525807E-2
1.477457292E0,-5.675557846E-2,2.330173910E-2,-5.040533781E-2,7.940317885E-2
1.487411292E0,-6.197425498E-2,2.330212282E-2,-6.327915251E-2,9.158628910E-2
1.497365292E0,-6.234476288E-2,2.869572245E-2,-5.953342617E-2,9.085451434E-2
1.507319292E0,-5.587132871E-2,2.135140032E-2,-5.414112389E-2,8.067681800E-2
1.517273292E0,-5.000834841E-2,2.655997211E-2,-5.922995567E-2,8.194177615E-2
1.527227292E0,-4.286681046E-2,7.365849020E-2,-6.057598472E-2,1.045590099E-1
1.537181292E0,-2.349536873E-2,1.808186208E-1,-7.269726276E-2,1.962964543E-1
1.547135292E0,6.591412716E-2,2.287587176E-1,-4.635321736E-2,2.425362732E-1
1.557089292E0,4.575897580E-2,9.647470940E-2,-4.904878378E-2,1.175033472E-1
1.567043292E0,-7.621001868E-2,-8.285250591E-2,-5.623384237E-2,1.258362019E-1
1.576997292E0,-2.032095829E-1,-2.042341796E-1,-4.695021808E-2,2.919076184E-1
1.586951292E0,-1.960563186E-1,-1.476889547E-1,-5.158998370E-2,2.508219165E-1
1.596905292E0,-5.961037187E-2,2.600183710E-2,-6.251492143E-2,9.020868788E-2
1.606859292E0,-5.237158285E-2,2.866049297E-2,-5.712261915E-2,8.262687315E-2
1.616813292E0,-6.977451375E-2,1.821738409E-2,-5.486734807E-2,9.061336401E-2
1.626767292E0,-6.477267757E-2,3.002629291E-2,-5.665308774E-2,9.114082716E-2
1.636721292E0,-5.280354590E-2,2.464647079E-2,-5.260798395E-2,7.850645169E-2
1.646675292E0,-5.599749609E-2,2.361425450E-2,-5.141456723E-2,7.960408474E-2
1.656629292E0,-6.381067355E-2,2.983501587E-2,-5.411481142E-2,8.882760295E-2
1.666583292E0,-5.310550891E-2,3.088439008E-2,-5.022992134E-2,7.935417837E-2
1.676537292E0,-5.733648106E-2,2.613698088E-2,-5.815699160E-2,8.574875802E-2
1.686491292E0,-6.615135509E-2,2.454370597E-2,-4.079134583E-2,8.150048575E-2
1.696445292E0,-5.902864700E-2,1.641061272E-2,-4.617897034E-2,7.672148772E-2
1.706399292E0,-5.066072866E-2,1.393194146E-2,-4.947036803E-2,7.216595966E-2
1.716353292E0,-5.606276563E-2,2.233552326E-2,-5.725476623E-2,8.318664283E-2
1.726307292E0,-6.106936181E-2,2.494007410E-2,-5.605550230E-2,8.656612262E-2
1.736261292E0,-6.795572818E-2,2.493347771E-2,-6.039296687E-2,9.427072584E-2
1.746215292E0,-5.582622749E-2,1.743254157E-2,-5.754829645E-2,8.205039674E-2
1.756169292E0,-5.325161164E-2,2.035861619E-2,-5.829498589E-2,8.153841288E-2
1.766123292E0,-6.852073367E-2,3.005713698E-2,-5.933871388E-2,9.549662502E-2
1.776077292E0,-6.060908544E-2,2.397440644E-2,-5.215540946E-2,8.347706354E-2
1.786031292E0,-6.978920488E-2,2.458359495E-2,-5.620051324E-2,9.291600479E-2
1.795985292E0,-6.141817106E-2,1.685063398E-2,-5.814763606E-2,8.623968449E-2
1.805939292E0,-6.075588710E-2,2.352775225E-2,-5.934397638E-2,8.812797782E-2
1.815893292E0,-6.077501389E-2,2.193213847E-2,-6.562914848E-2,9.209672166E-2
1.825848292E0,-5.416707548E-2,1.490511915E-2,-5.889315605E-2,8.139188210E-2
1.835802292E0,-5.672887313E-2,1.746082747E-2,-5.574969292E-2,8.143140551E-2
1.845756292E0,-5.340177088E-2,1.911977392E-2,-5.575027764E-2,7.953243580E-2
1.855710292E0,-6.080742939E-2,2.239070635E-2,-5.724307179E-2,8.646187870E-2
1.865664292E0,-6.157720163E-2,2.663220350E-2,-6.173139453E-2,9.116902486E-2
1.875618292E0,-6.515550117E-2,2.049544103E-2,-6.547361255E-2,9.461551869E-2
1.885572292E0,-5.862230206E-2,2.178970395E-2,-5.634143114E-2,8.417673289E-2
1.895526292E0,-6.369999672E-2,2.143380951E-2,-3.643517017E-2,7.645011052E-2
1.905480292E0,-6.539718304E-2,2.806899229E-2,-5.978485644E-2,9.294562355E-2
1.915434292E0,-1.833935792E-2,1.778298165E-1,-5.843590379E-2,1.880811807E-1
1.925388292E0,-3.880694245E-2,7.661513479E-2,-4.751213551E-2,9.814917566E-2
1.935342292E0,-8.840775364E-2,-1.033845834E-1,-5.184843063E-2,1.455766559E-1
1.945296292E0,-6.013458389E-2,-1.507710038E-2,-5.782545447E-2,8.477777020E-2
1.955250292E0,-5.608464701E-2,2.122173831E-3,-6.006727695E-2,8.220747541E-2
1.965204292E0,-5.895817892E-2,1.086558849E-3,-5.422590852E-2,8.011052756E-2
1.975158292E0,-6.372716800E-2,5.455397386E-3,-5.646831572E-2,8.532047810E-2
1.985112292E0,-4.315056487E-2,1.622101676E-2,-6.979061186E-2,8.364103143E-2
1.995066292E0,-5.279366045E-2,2.159036871E-2,-5.990706325E-2,8.271741553E-2
2.005020292E0,-9.399029142E-2,2.582490401E-2,-4.867748559E-2,1.089522747E-1
2.014974292E0,-7.829597175E-2,2.865634510E-2,-4.643858671E-2,9.543577758E-2
2.024928292E0,-4.787675508E-2,2.415040763E-2,-6.156065583E-2,8.164030997E-2
2.034882292E0,-3.760455392E-2,1.600107009E-2,-6.096014678E-2,7.339125435E-2
2.044836292E0,-6.320274128E-2,2.576425742E-2,-5.422473907E-2,8.717055577E-2
2.054790292E0,-5.710190722E-2,2.406423429E-2,-4.943353057E-2,7.926783159E-2
2.064744292E0,-5.610666086E-2,1.766061952E-2,-5.212500393E-2,7.859307164E-2
2.074698292E0,-6.649065348E-2,2.185060635E-2,-5.841602325E-2,9.116407062E-2
2.084652667E0,-6.709018952E-2,2.177430019E-2,-5.212734282E-2,8.770674745E-2
2.094606667E0,-5.158031296E-2,1.987435710E-2,-4.988318145E-2,7.445703826E-2
2.104560667E0,-5.486679990E-2,1.959856952E-2,-5.856571198E-2,8.261000107E-2
2.114514667E0,-6.109155382E-2,1.743774924E-2,-5.482173979E-2,8.391469598E-2
