time,x,y,z,norm
1.528199208E0,2.045714543E-1,-7.321962377E-1,-1.092470384E-1,7.680466951E-1
1.538155208E0,1.402598296E-1,-6.687811375E-1,-4.696588862E-1,8.291685589E-1
1.548110208E0,5.032512132E-2,-5.795628592E-1,-8.516118765E-1,1.031343063E0
1.558066208E0,-7.241060302E-2,-5.215782143E-1,-1.080378342E0,1.201875405E0
1.568021208E0,-1.994322268E-1,-4.654636551E-1,-1.111358644E0,1.221289345E0
1.577977208E0,-2.777320723E-1,-3.781154627E-1,-8.842568815E-1,1.001007812E0
1.587932208E0,-2.905487305E-1,-3.140533680E-1,-5.335812324E-1,6.839276382E-1
1.597888208E0,-2.558513163E-1,-3.236811009E-1,-2.332542032E-1,4.739587265E-1
1.607843208E0,-1.834065436E-1,-3.328631298E-1,-9.685503423E-2,3.921947489E-1
1.617799208E0,-1.218835657E-1,-3.144037624E-1,-7.567583442E-2,3.455895851E-1
1.627755208E0,-8.583036494E-2,-2.817811230E-1,-2.394288629E-1,3.795966718E-1
1.637710208E0,-8.108209692E-2,-2.271388927E-1,-5.346360701E-1,5.865169311E-1
1.647666208E0,-9.707839787E-2,-1.424469441E-1,-8.198989177E-1,8.378243148E-1
1.657621208E0,-1.450583837E-1,-4.731859267E-2,-1.015489451E0,1.026888411E0
1.667577208E0,-2.658779024E-1,5.946530610E-2,-1.146486962E0,1.178413991E0
1.677532208E0,-4.343804415E-1,1.877076092E-1,-1.206898640E0,1.296350586E0
1.687488208E0,-5.100797013E-1,2.423977867E-1,-1.139798917E0,1.272037562E0
1.697443208E0,-4.937710494E-1,2.266322315E-1,-9.936594558E-1,1.132488910E0
1.707399208E0,-4.504697862E-1,2.048874597E-1,-8.135587817E-1,9.522498573E-1
1.717354208E0,-4.641055297E-1,1.557458514E-1,-6.198528063E-1,7.898532866E-1
1.727310208E0,-5.417433973E-1,1.051474093E-1,-4.759633541E-1,7.287544172E-1
1.737265208E0,-6.440127705E-1,7.709422275E-2,-4.237447947E-1,7.747616529E-1
1.747221208E0,-7.119740810E-1,6.650988534E-2,-4.128110862E-1,8.256776912E-1
1.757176208E0,-7.333175875E-1,7.042561948E-2,-3.498903680E-1,8.155597597E-1
1.767132208E0,-7.255818674E-1,7.617547899E-2,-2.004448915E-1,7.566041927E-1
1.777088208E0,-6.357654921E-1,1.384030098E-1,-9.292745948E-2,6.572584475E-1
1.787043208E0,-4.855390468E-1,2.397114296E-1,-5.117775500E-2,5.439015518E-1
1.796999208E0,-3.697076782E-1,3.297240521E-1,-1.768081069E-2,4.956958028E-1
1.806954208E0,-2.714904254E-1,4.065838015E-1,-6.038945854E-2,4.926097091E-1
1.816910208E0,-2.034546726E-1,5.276898703E-1,-1.791926014E-1,5.932624979E-1
1.826865208E0,-1.776350128E-1,7.011293963E-1,-4.071410412E-1,8.300002744E-1
1.836821208E0,-1.792807482E-1,7.638722129E-1,-6.169847471E-1,9.981545584E-1
1.846776208E0,-2.189959506E-1,7.869269072E-1,-6.964793980E-1,1.073450854E0
1.856732208E0,-2.987584405E-1,8.126738057E-1,-6.926728606E-1,1.108824157E0
1.866687208E0,-3.634309480E-1,8.931936197E-1,-6.428452277E-1,1.158933511E0
1.876643208E0,-3.957907185E-1,9.250697158E-1,-5.437957335E-1,1.143729895E0
1.886598208E0,-3.875071874E-1,9.060292813E-1,-3.541021174E-1,1.047109922E0
1.896554208E0,-2.948140185E-1,8.974386983E-1,-1.193691534E-1,9.521347160E-1
1.906510208E0,-2.365474281E-1,9.054305264E-1,8.610492826E-2,9.397729421E-1
1.916465208E0,-2.516584606E-1,9.460495256E-1,1.944111496E-1,9.980668218E-1
1.926421208E0,-3.315141772E-1,9.798635352E-1,2.380085742E-1,1.061452909E0
