x,y,z
4123,-0.014118254,0.012782149,-0.017461777
4143,-0.0016887188,0.008492678,0.10819912
4162,0.028164506,-0.008791387,0.10581112
4180,0.037512302,-0.018313102,-0.001906395
4200,0.023418784,-0.011462346,0.030396461
4219,-0.006377518,0.0066904947,0.09982014
4238,-0.021941364,0.008533448,0.027996063
4257,-0.028877676,0.013025671,0.04114914
4276,-0.044700146,0.038364403,0.104579926
4296,0.023775518,-0.02897843,0.041160583
4313,0.08249274,-0.047560155,0.017233849
4332,0.019857883,0.004533954,0.08905125
4353,-0.0042458177,-0.004114911,0.056741714
4371,-0.01265955,0.0015435517,0.0028762817
4391,-0.05460763,0.04762069,0.09621048
4409,-0.041344345,0.045568667,0.08544159
4428,-4.931092E-4,-0.006934732,-0.010305405
4447,0.027224481,-0.034171954,0.056725502
4466,0.041309953,-0.026520919,0.12138271
4486,0.045755565,-0.014928713,0.01605606
4505,0.025440633,-0.012964398,0.022037506
4523,-0.003105104,0.010813668,0.09743881
4543,-0.0451172,0.03533476,0.063910484
4562,-0.052195728,0.039780483,0.03396988
4581,-0.021703541,-0.0052940547,0.068675995
4600,0.027442813,-0.03445795,0.031573296
4619,0.043869972,-0.020243526,0.054326057
4638,0.041077435,-0.01654265,0.07829094
4657,0.027826726,-0.007095605,0.0423851
4676,0.004042864,-3.0086935E-4,0.05793667
4695,-0.029582977,0.039063074,0.07947254
4714,-0.0510087,0.0315758,0.035175323
4733,-0.017873406,-0.01949409,0.038754463
4752,0.0070631504,-0.019874386,0.08782768
4771,0.014203548,0.007465251,0.051919937
4791,0.035416305,0.0049726814,0.027996063
4809,0.044867992,-0.014105305,0.08067322
4828,0.019673824,-0.009316593,0.060328484
4847,-0.037628353,0.0051188245,0.027997017
4867,-0.039743483,0.014433973,0.05551052
4886,-0.020589828,-7.272437E-4,0.072268486
4905,0.0057266355,0.004212491,0.04952526
4924,0.034242094,0.0010675937,0.050735474
4943,0.036646664,0.0023150519,0.06749344
4962,0.0151587725,6.6401064E-4,0.039958954
4980,-0.012407839,-0.006592162,0.047143936
5000,-0.036247373,0.0039345473,0.07347298
5019,-0.021710396,0.008861266,0.05311203
5038,0.0024489164,-0.008956268,0.042326927
5057,0.026484728,-0.014650963,0.06386471
5076,0.03237927,6.549135E-4,0.059081078
5095,0.009549439,0.0053992122,0.056693077
5114,-0.0061693788,-0.009168252,0.044732094
5132,-0.009681761,-0.0044208467,0.042333603
5152,-0.0059619546,3.0951202E-4,0.06387234
5171,-0.0022518039,0.012131661,0.06386471
5190,0.01088202,-0.001143381,0.047106743
5209,0.015507996,-0.006959185,0.04591942
5228,0.009550869,-0.008332707,0.056692123
5247,0.009464562,-0.0034387335,0.055498123
5266,0.002330482,0.0071718693,0.056693077
5285,-0.005976796,0.0034035817,0.06506634
5304,0.0048385262,-0.0121072605,0.051898003
5323,-0.008251905,-0.0049009398,0.05069542
5342,0.0014307499,9.746626E-4,0.048294067
5361,0.0061416626,-0.0050532967,0.055480957
5381,0.0133417845,-1.1180341E-4,0.062662125
5400,0.012108207,-0.0037212968,0.05308819
5419,-0.0010598898,0.009423554,0.051891327
5438,-0.01640755,0.012814835,0.055469513
5457,0.002678454,7.351041E-4,0.056669235
5476,0.011079311,-0.012564577,0.044696808
5495,0.012352586,-0.006671123,0.05307007
5514,0.019423425,0.009266414,0.066244125
5533,-0.002061963,0.006298505,0.06264782
5552,-0.0056968927,0.0027600452,0.05786228
5571,-0.0022749305,-0.004292533,0.045903206
5590,0.0047756433,-0.0043269545,0.041122437
5609,0.007260084,-0.006812386,0.05308628
5628,0.009513736,0.004337147,0.07942867
5647,0.0048220754,-6.8775564E-4,0.049498558
5666,8.3208084E-5,0.0026866123,0.033932686
5686,0.0035508275,0.0074357316,0.07583523
5704,0.0019120574,0.020623893,0.06508064
5724,0.021208465,-0.012172222,0.04592991
5743,0.022995472,-0.065632425,0.052217484
5762,-0.031442583,0.00630787,0.04832363
5781,-0.0330925,0.04181414,0.05190468
5800,0.020114899,0.007667318,0.06866455
5819,0.04625362,-0.0052548572,0.05910015
5838,0.032983363,-0.007596813,0.051924706
5857,-0.0030995011,-0.00792902,0.057920456
5876,-0.025669694,-0.013883434,0.04833603
5895,-0.026694298,-0.0036158413,0.038747787
5914,-0.008668482,-0.014197178,0.055500984
5933,0.015449047,0.006556809,0.067461014
5952,0.026311636,0.004394479,0.060274124
5972,0.015015602,0.020357616,0.0531044
5990,0.02123195,-0.0016919672,0.06029129
6010,0.010474145,-0.020045176,0.042334557
6029,-0.0074730515,-0.016380578,0.045926094
6048,-0.018089473,0.0027344227,0.068660736
6067,-0.012139618,-0.0020238087,0.048314095
6086,0.0032870173,0.0039212033,0.048321724
6104,0.011454642,0.0114837065,0.07227421
6124,0.024603128,0.009417683,0.06988239
6142,0.017472446,-0.0030477047,0.027982712
6162,-0.0040146112,-0.013869129,0.06987572
6181,-0.011344135,-0.010155149,0.063899994
6200,-0.022126317,-0.002869673,0.031582832
6219,-0.0064989924,-0.0041383654,0.059108734
6238,0.016305625,0.008171275,0.073470116
6257,0.021082401,0.008122303,0.05910492
6276,0.01733905,0.010169543,0.04354191
6295,0.013502657,-0.0075279176,0.0675087
6314,-0.004402697,-0.013448678,0.03758049
6334,-0.0195992,-0.019519843,0.050735474
6352,-0.0123142,0.003128767,0.060297012
6371,-0.0015472174,0.0078052804,0.05790329
6391,0.022322774,0.009601183,0.06628609
6410,0.024638653,-0.004772924,0.056714058
6429,0.007902861,-5.9720874E-4,0.03516674
6448,-0.006283641,-0.0019258112,0.04712391
6466,-0.014739573,-0.007855631,0.09022331
6486,-0.00998956,-0.011096738,0.060302734
6505,0.0043987036,0.0044779703,-0.0067329407
6524,0.018930674,0.009427048,0.06986618
6543,0.023823142,-0.0011572391,0.111756325
6562,0.011697531,-0.0011631027,0.057901382
6581,-0.006256819,2.6524067E-5,0.021990776
6601,-0.023075402,0.0022419319,0.0531168
6619,-0.014665782,0.0046928823,0.05072117
6638,0.004349351,0.009297483,0.04953003
6657,0.019962609,0.0049567297,0.073467255
6677,0.024673283,0.004941322,0.06269932
6696,0.009017587,-0.0049785674,0.041158676
6715,0.0017623901,-0.008575276,0.05313301
6734,-0.0053551793,-0.0073238313,0.069888115
6752,5.041361E-4,-0.012047492,0.053138733
6771,4.9191713E-4,-0.006017931,0.053139687
6790,0.0063334107,0.010560788,0.04716015
6810,0.008751094,0.010387719,0.060325623
6829,0.0123003125,0.0011981279,0.067510605
6848,0.0052092075,-0.0059658065,0.061522484
6867,-0.004309356,-0.0048067793,0.04236698
6886,-0.004195273,-0.009781882,0.054329872
6905,0.0029678345,-0.007510245,0.05432892
6924,-7.44164E-4,0.0056152865,0.06271553
6943,-9.584427E-4,0.018700995,0.057930946
6962,0.005266309,7.772073E-4,0.056728363
6981,0.017179966,-0.003234081,0.060325623
7000,0.008763671,-0.015468519,0.044766426
7019,0.002757728,-0.009322256,0.04596615
7038,-0.005670786,-0.003240347,0.06751633
7058,-0.0091920495,0.007483013,0.043571472
7076,-0.007984638,0.010960609,0.045963287
7095,0.008800864,0.00398238,0.077085495
7115,0.013485551,-0.0066813156,0.060333252
7133,0.012240827,-0.006873101,0.035199165
7153,0.0074229836,-0.0056830496,0.060338974
7172,0.0012543797,-0.0029676706,0.07710934
7191,0.0026006699,2.9443204E-4,0.031611443
7210,0.0013898611,0.011010826,0.056750298
7229,-8.3863735E-4,0.005035192,0.0758934
7248,0.008756757,-0.005627468,0.02920723
7267,0.009971023,-0.005545236,0.044768333
7286,0.0026624799,-0.0052902848,0.085476875
7305,-0.0033257604,-0.003041841,0.042384148
7324,-0.0032172203,0.008874953,0.031603813
7343,0.01122421,0.0021589324,0.08786011
7362,0.00982064,0.009683222,0.069919586
7381,0.0038080812,0.0021382049,0.01246357
7400,-0.0018932223,-2.7494133E-4,0.07349491
7419,-0.010251939,-0.0036543012,0.06870842
7439,0.001585722,0.001339376,0.024427414
7457,0.0077139735,-0.008986644,0.07828522
7476,0.008708954,-0.004302196,0.07350922
7496,0.007475257,0.0051529855,0.028024673
7515,0.0088733435,0.0027889386,0.074697495
7534,-6.532073E-4,0.007614672,0.06990719
7553,-0.0031077862,-0.0092643425,0.011255264
7572,-0.008957684,-0.0046990216,0.06870365
7591,-0.007739842,-0.0034901127,0.08067322
7609,-0.0029530525,0.0024277344,0.033988
7629,0.0100669265,0.0060902834,0.056739807
7648,0.01361835,0.0075742826,0.07230377
7667,0.006524384,0.0010796562,0.043569565
7686,0.005362332,-0.002551727,0.038778305
7706,-0.0065343976,-0.006177023,0.07348728
7725,5.8442354E-4,-0.003712982,0.057930946
7743,-0.008975923,-1.2186915E-4,0.03518486
7762,0.0041748285,0.001014553,0.057929993
7781,5.778074E-4,0.0010142028,0.060325623
7800,0.0065969825,0.004591614,0.06032276
7819,0.004130721,0.0057748854,0.065114975
7838,-0.007655263,-0.0072553903,0.038769722
7857,-0.0041747093,-0.008425929,0.037578583
7877,-0.0017772317,-0.0011991262,0.074687004
7896,0.016130686,-8.382499E-4,0.06990242
7915,0.010109246,-0.004804872,0.03758526
7933,0.0066117644,0.003722608,0.07109642
7953,0.00425601,0.006127231,0.042366028
7972,0.003153801,8.126348E-5,0.029192924
7991,-0.0037325025,-0.009510003,0.07945061
8010,-0.0038385391,-0.01897062,0.06748676
8028,-0.002530098,2.4168193E-4,0.02797985
8048,-0.0012784004,0.010866754,0.05550766
8067,0.005941808,0.0075772554,0.07226467
8086,0.012002766,0.0062225237,0.0519104
8106,0.010829389,6.5443665E-4,0.06507683
8124,0.0035176277,-0.010386512,0.05191803
8144,3.2186508E-5,-0.008077435,0.033956528
8162,0.004914999,-0.0022041425,0.05788994
8181,0.008424461,0.0041847676,0.079442024
8200,0.00844717,0.0062654465,0.020785332
8220,4.5889616E-4,0.009533919,0.053079605
8239,-0.006646633,0.0035370737,0.09497166
8258,-0.006748259,-0.007099785,0.04829502
8276,-0.0020215511,-0.007026769,0.030343056
8296,0.012305498,0.0063107237,0.06625652
8315,0.018293142,0.0076384023,0.065057755
8333,0.013462424,0.0024327487,0.05668068
8353,3.4713745E-4,-0.0036860108,0.061466217
8372,-0.0022179484,-9.192526E-5,0.049505234
8391,-0.010632455,-0.0025397912,0.04352188
8409,-0.009355366,-0.0014504045,0.067456245
8429,0.0048775077,0.010493137,0.06147957
8448,0.005823791,0.005681582,0.054311752
8467,0.009496331,-4.7393143E-4,0.051911354
8486,0.005884707,-0.0037884265,0.062687874
8506,-0.0024373531,0.0031811744,0.047121048
8524,-0.0059022903,-0.0028539896,0.06387234
8543,0.010879219,-0.0014151037,0.06865883
8562,0.0073749423,-0.0029039308,0.04950142
8581,0.010760188,0.0029613227,0.050709724
8601,0.002313137,0.004206039,0.060290337
8619,0.0011076927,7.294938E-4,0.055503845
8639,-0.0025414228,-0.00643187,0.036354065
8658,-0.0038456917,6.2322617E-4,0.06867981
8677,0.009292543,-0.0015321746,0.07346916
8696,0.011643052,0.0041956604,0.02319622
8715,0.008195162,-0.0019528344,0.05191517
8734,0.011755526,-0.0046958476,0.09381676
8753,-0.0026105046,-0.0063532665,0.030373573
8772,-0.007332027,-0.0040016696,0.021988869
8791,-0.010835111,-0.0041627586,0.08782101
8810,-0.0022810698,6.225556E-4,0.074643135
8829,0.016987622,6.593615E-4,0.039920807
8848,0.0145484805,0.004241146,0.05907631
8867,0.015525758,8.602366E-4,0.050710678
8887,-0.010784805,-0.0018287599,0.054301262
8905,-0.004847884,-0.0043187737,0.055499077
8925,-0.0035324693,-0.006584592,0.05788803
8943,-0.001255393,0.0066742003,0.053106308
8963,0.010734379,5.6955963E-4,0.043528557
8982,0.004789412,0.0018310174,0.057891846
9001,0.0072715282,7.204488E-4,0.057887077
9020,0.0026416779,-6.7872554E-4,0.05428505
9039,0.0014947057,-7.314235E-4,0.06984329
9058,0.002565384,0.0017072409,0.06266785
9077,0.0038536787,-3.0581653E-4,0.057876587
9096,3.0851364E-4,0.0055176765,0.024356842
9115,-0.0019121766,0.0065809414,0.06624317
9134,-0.01032263,0.0016694963,0.074622154
9153,3.2788515E-4,-0.003110759,0.035126686
9172,0.0039575696,0.004002817,0.04350376
9191,0.011106849,0.0101504475,0.07103634
9210,0.009924591,-0.0056156963,0.0470953
9230,0.001465261,-9.2407316E-4,0.042310715
9248,-0.0032708645,-0.0022075102,0.07103634
9267,-0.0034497976,0.0027657673,0.05069828
